"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\__init__.py", "Python", 0, 0, -1, -1
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\__main__.py", "Python", -2, 0, -1, -3
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\application\application.py", "Python", -12, 0, -5, -17
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\application\experiment_mode.py", "Python", -3, 0, -2, -5
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\application\standard_mode.py", "Python", -60, 0, -11, -71
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\application\test_mode.py", "Python", -3, 0, -3, -6
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\cli.py", "Python", -64, 0, -11, -75
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\code_generators\__init__.py", "Python", -4, 0, -1, -5
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\code_generators\base_code_generator.py", "Python", -5, 0, -3, -8
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\code_generators\latex_code_generator.py", "Python", -5, -1, -3, -9
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\code_generators\markdown_code_generator.py", "Python", -99, 0, -40, -139
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\convert.py", "Python", -6, 0, -4, -10
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\enums\__init__.py", "Python", -5, 0, -1, -6
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\enums\convert_mode.py", "Python", -4, 0, -2, -6
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\enums\langs.py", "Python", -4, 0, -2, -6
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\enums\line_type.py", "Python", -6, 0, -2, -8
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\enums\work_mode.py", "Python", -5, 0, -2, -7
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\experiments.py", "Python", -12, 0, -1, -13
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\file_system.py", "Python", -33, 0, -12, -45
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\__init__.py", "Python", -28, 0, -1, -29
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\base_node.py", "Python", -5, 0, -2, -7
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\code_node.py", "Python", -6, 0, -3, -9
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\document_node.py", "Python", -6, 0, -3, -9
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\environment_node.py", "Python", -5, 0, -3, -8
"c:\Users\valera\Documents\Projects\Python\format-converter\src\formatconverter\nodes\general_node.py", "Python", -5, 0, -3, -8
